Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
255,Raj Kumar,JHANDUTA (SC),IND,0,Graduate Professional,"Rs 1,72,28,857
~ 1 Crore+","Rs 6,81,912
~ 6 Lacs+"
256,Raj Kumar,KANGRA,AAP,0,10th Pass,"Rs 3,71,75,184
~ 3 Crore+","Rs 0
~"
257,Rajat Thakur,DHARAMPUR,BJP,0,Graduate,"Rs 9,79,69,842
~ 9 Crore+","Rs 18,38,045
~ 18 Lacs+"
258,Rajeev Kumar,MANDI,IND,0,12th Pass,"Rs 8,42,850
~ 8 Lacs+","Rs 2,00,000
~ 2 Lacs+"
259,Rajeev Kumar Kaundel,KASAULI (SC),Rashtriya Devbhumi Party,0,Others,"Rs 6,41,000
~ 6 Lacs+","Rs 0
~"
260,Rajender,ARKI,IND,1,10th Pass,"Rs 8,09,54,447
~ 8 Crore+","Rs 3,59,41,509
~ 3 Crore+"
261,Rajender Singh,ROHRU (SC),IND,0,Graduate,"Rs 87,11,470
~ 87 Lacs+","Rs 19,96,283
~ 19 Lacs+"
262,Rajesh Dharmani,GHUMARWIN,INC,1,Post Graduate,"Rs 1,32,94,907
~ 1 Crore+","Rs 3,65,614
~ 3 Lacs+"
263,Rajesh Kashyap,SOLAN (SC),BJP,1,Post Graduate,"Rs 4,55,25,497
~ 4 Crore+","Rs 28,07,802
~ 28 Lacs+"
264,Rajesh Kumar,SUJANPUR,IND,0,10th Pass,"Rs 30,40,000
~ 30 Lacs+","Rs 12,90,000
~ 12 Lacs+"
265,Rajesh Kumar Gill,SHIMLA,BSP,0,10th Pass,"Rs 30,50,000
~ 30 Lacs+","Rs 0
~"
266,Rajesh Thakur,GAGRET,BJP,0,Graduate,"Rs 28,01,67,065
~ 28 Crore+","Rs 1,71,10,670
~ 1 Crore+"
267,Rajinder,KASAULI (SC),Himachal Jan Kranti Party,0,8th Pass,"Rs 12,23,000
~ 12 Lacs+","Rs 0
~"
268,Rajinder,SOLAN (SC),BSP,0,5th Pass,"Rs 32,01,500
~ 32 Lacs+","Rs 1,55,000
~ 1 Lacs+"
269,Rajinder Garg,GHUMARWIN,BJP,0,Post Graduate,"Rs 3,86,96,510
~ 3 Crore+","Rs 17,27,850
~ 17 Lacs+"
270,Rajinder Singh,SUJANPUR,INC,0,Graduate,"Rs 31,97,28,503
~ 31 Crore+","Rs 37,34,978
~ 37 Lacs+"
271,Rajiv Gautam,UNA,AAP,0,Graduate Professional,"Rs 8,62,35,854
~ 8 Crore+","Rs 1,12,48,078
~ 1 Crore+"
272,Rajiv Saizal,KASAULI (SC),BJP,0,Graduate Professional,"Rs 1,70,90,767
~ 1 Crore+","Rs 0
~"
273,Rajneesh Kimta,CHOPAL,INC,0,Graduate Professional,"Rs 31,24,48,558
~ 31 Crore+","Rs 1,53,97,891
~ 1 Crore+"
274,Rajni Kaushal,BHORANJ (SC),AAP,0,12th Pass,"Rs 67,60,000
~ 67 Lacs+","Rs 0
~"
275,Rakesh Kumar,DHARAMSHALA,BJP,0,Graduate,"Rs 83,62,728
~ 83 Lacs+","Rs 1,66,164
~ 1 Lacs+"
276,Rakesh Kumar,SUNDERNAGAR,BJP,0,Graduate,"Rs 3,92,44,189
~ 3 Crore+","Rs 44,71,977
~ 44 Lacs+"
277,Rakesh Kumar Chopra,GHUMARWIN,AAP,0,10th Pass,"Rs 21,67,20,892
~ 21 Crore+","Rs 8,76,01,241
~ 8 Crore+"
278,Rakesh Mandhotra,DHARAMPUR,AAP,1,Post Graduate,"Rs 15,30,000
~ 15 Lacs+","Rs 0
~"
279,Rakesh Pathania,FATEHPUR,BJP,1,12th Pass,"Rs 6,55,37,155
~ 6 Crore+","Rs 1,60,71,860
~ 1 Crore+"
280,Rakesh Singha,THEOG,CPI(M),30,Post Graduate,"Rs 19,46,17,735
~ 19 Crore+","Rs 14,96,393
~ 14 Lacs+"
281,Ram Kishan,SRI RENUKAJI (SC),AAP,0,Post Graduate,"Rs 2,31,85,621
~ 2 Crore+","Rs 0
~"
282,Ram Kumar,HAROLI,BJP,0,Post Graduate,"Rs 1,09,79,081
~ 1 Crore+","Rs 0
~"
283,Ram Kumar,DOON,INC,1,Post Graduate,"Rs 73,76,21,068
~ 73 Crore+","Rs 8,05,57,202
~ 8 Crore+"
284,Ram Lal Thakur,SRI NAINA DEVIJI,INC,3,Graduate Professional,"Rs 5,35,34,401
~ 5 Crore+","Rs 28,28,448
~ 28 Lacs+"
285,Ram Pal,JUBBAL-KOTKHAI,BSP,0,8th Pass,"Rs 2,75,950
~ 2 Lacs+","Rs 0
~"
286,Ram Paul,CHINTPURNI (SC),AAP,0,Post Graduate,"Rs 1,62,80,032
~ 1 Crore+","Rs 12,90,739
~ 12 Lacs+"
287,Ram Prakash,KASUMPTI,Rashtriya Devbhumi Party,0,10th Pass,"Rs 38,25,675
~ 38 Lacs+","Rs 12,85,000
~ 12 Lacs+"
288,Ram Rattan,KASAULI (SC),BSP,0,Literate,"Rs 1,20,61,000
~ 1 Crore+","Rs 3,20,000
~ 3 Lacs+"
289,Ram Singh,KULLU,IND,0,Graduate,"Rs 5,81,57,786
~ 5 Crore+","Rs 34,08,095
~ 34 Lacs+"
290,Ramesh Chand,UNA,BSP,0,12th Pass,"Rs 2,78,70,000
~ 2 Crore+","Rs 0
~"
291,Ramesh Chand,SARKAGHAT,BSP,0,10th Pass,"Rs 46,92,700
~ 46 Lacs+","Rs 0
~"
292,Ramesh Chand,DEHRA,BJP,0,10th Pass,"Rs 1,50,09,964
~ 1 Crore+","Rs 20,00,000
~ 20 Lacs+"
293,Ramesh Kumar,DARANG,BSP,0,8th Pass,"Rs 52,86,000
~ 52 Lacs+","Rs 50,000
~ 50 Thou+"
294,Ramesh Kumar,SHAHPUR,IND,0,5th Pass,"Rs 21,45,000
~ 21 Lacs+","Rs 8,00,000
~ 8 Lacs+"
295,Rameshwar,PAONTA SAHIB,IND,0,5th Pass,"Rs 46,00,660
~ 46 Lacs+","Rs 0
~"
296,Ramjan,NAHAN,IND,0,10th Pass,"Rs 43,54,100
~ 43 Lacs+","Rs 1,30,000
~ 1 Lacs+"
297,Ran Vijay Singh,SUNDERNAGAR,Rashtriya Devbhumi Party,0,10th Pass,"Rs 1,30,698
~ 1 Lacs+","Rs 26,000
~ 26 Thou+"
298,Ranbir Singh,NURPUR,BJP,1,10th Pass,"Rs 15,84,10,000
~ 15 Crore+","Rs 30,00,000
~ 30 Lacs+"
299,Randhir Sharma,SRI NAINA DEVIJI,BJP,0,Post Graduate,"Rs 5,58,40,585
~ 5 Crore+","Rs 12,00,000
~ 12 Lacs+"
300,Ranjit Singh,NADAUN,IND,0,10th Pass,"Rs 12,62,000
~ 12 Lacs+","Rs 0
~"
301,Ranjit Singh Rana,SUJANPUR,BJP,0,12th Pass,"Rs 62,96,530
~ 62 Lacs+","Rs 0
~"
302,Rasila Ram,BHARMOUR (ST),Himachal Janta Party,0,Graduate,"Rs 23,35,426
~ 23 Lacs+","Rs 4,00,000
~ 4 Lacs+"
303,Rattan Chand Katoch,BARSAR,BSP,0,10th Pass,"Rs 98,40,000
~ 98 Lacs+","Rs 8,00,000
~ 8 Lacs+"
304,Ravi Kumar Mehta,SHIMLA RURAL,BJP,1,Post Graduate,"Rs 2,30,87,042
~ 2 Crore+","Rs 23,10,662
~ 23 Lacs+"
305,Ravi Thakur,LAHAUL AND SPITI (ST),INC,0,Graduate,"Rs 12,27,94,142
~ 12 Crore+","Rs 4,14,39,467
~ 4 Crore+"
306,Ravinder Kumar Dhiman,JAISINGHPUR (SC),BJP,0,Graduate,"Rs 1,58,00,735
~ 1 Crore+","Rs 34,33,166
~ 34 Lacs+"
307,Ravinder Pal Singh,JOGINDERNAGAR,AAP,0,Post Graduate,"Rs 4,08,65,000
~ 4 Crore+","Rs 66,00,000
~ 66 Lacs+"
308,Ravinder Pal Singh Mann,HAROLI,AAP,0,Graduate Professional,"Rs 49,66,314
~ 49 Lacs+","Rs 0
~"
309,Ravinder Singh,SULLAH,AAP,0,Graduate,"Rs 81,75,647
~ 81 Lacs+","Rs 2,67,900
~ 2 Lacs+"
310,Ravinder Singh,JAWALAMUKHI,BJP,1,Graduate,"Rs 3,45,35,958
~ 3 Crore+","Rs 14,15,567
~ 14 Lacs+"
311,Reena,PACHHAD (SC),BJP,0,Post Graduate,"Rs 1,21,21,682
~ 1 Crore+","Rs 42,14,263
~ 42 Lacs+"
312,Reeta Devi,INDORA (SC),BJP,0,10th Pass,"Rs 2,09,40,850
~ 2 Crore+","Rs 69,64,397
~ 69 Lacs+"
313,Rekha Rani,SULLAH,IND,0,12th Pass,"Rs 17,65,000
~ 17 Lacs+","Rs 0
~"
314,Rinku,DALHOUSIE,IND,0,Graduate,"Rs 8,26,450
~ 8 Lacs+","Rs 16,26,943
~ 16 Lacs+"
315,Rohit Thakur,JUBBAL-KOTKHAI,INC,0,Graduate,"Rs 10,43,48,982
~ 10 Crore+","Rs 26,50,000
~ 26 Lacs+"
316,Roshan Lal Chaudhary,PAONTA SAHIB,IND,0,Post Graduate,"Rs 1,83,76,639
~ 1 Crore+","Rs 9,83,000
~ 9 Lacs+"
317,Sahil Chouhan,JASWAN-PRAGPUR,AAP,0,12th Pass,"Rs 5,34,550
~ 5 Lacs+","Rs 9,21,000
~ 9 Lacs+"
318,Salender Singh,NAHAN,Rashtriya Devbhumi Party,0,12th Pass,"Rs 15,23,000
~ 15 Lacs+","Rs 12,30,000
~ 12 Lacs+"
319,Sali Ram,NURPUR,BSP,0,10th Pass,"Rs 17,00,000
~ 17 Lacs+","Rs 3,40,000
~ 3 Lacs+"
320,Sanjay,ARKI,INC,1,Graduate,"Rs 2,89,95,613
~ 2 Crore+","Rs 23,84,244
~ 23 Lacs+"
321,Sanjay Bhardwaj,PALAMPUR,AAP,0,Graduate Professional,"Rs 1,56,39,923
~ 1 Crore+","Rs 15,93,656
~ 15 Lacs+"
322,Sanjay Guleria,JAWALI,BJP,2,Graduate,"Rs 10,99,82,319
~ 10 Crore+","Rs 7,90,255
~ 7 Lacs+"
323,Sanjay Kumar,MANDI,Rashtriya Devbhumi Party,0,10th Pass,"Rs 3,08,000
~ 3 Lacs+","Rs 18,000
~ 18 Thou+"
324,Sanjay Kumar,ARKI,IND,0,Graduate,"Rs 3,33,777
~ 3 Lacs+","Rs 1,20,000
~ 1 Lacs+"
325,Sanjay Prashar,JASWAN-PRAGPUR,IND,0,12th Pass,"Rs 36,03,54,528
~ 36 Crore+","Rs 7,47,83,560
~ 7 Crore+"
326,Sanjay Rattan,JAWALAMUKHI,INC,0,Post Graduate,"Rs 4,16,79,522
~ 4 Crore+","Rs 32,96,938
~ 32 Lacs+"
327,Sanjay Sood,SHIMLA,BJP,0,Graduate,"Rs 2,71,25,351
~ 2 Crore+","Rs 0
~"
328,Sanjeev,JOGINDERNAGAR,IND,0,Graduate Professional,"Rs 9,63,91,860
~ 9 Crore+","Rs 1,50,00,000
~ 1 Crore+"
329,Sanjeev Kumar,BARSAR,IND,0,12th Pass,"Rs 43,09,000
~ 43 Lacs+","Rs 5,74,676
~ 5 Lacs+"
330,Santosh Kumar,JAISINGHPUR (SC),AAP,1,10th Pass,"Rs 84,02,778
~ 84 Lacs+","Rs 44,00,000
~ 44 Lacs+"
331,Sarveen,SHAHPUR,BJP,0,Post Graduate,"Rs 5,81,37,346
~ 5 Crore+","Rs 85,00,000
~ 85 Lacs+"
332,Satpal Singh Raizada,UNA,INC,1,10th Pass,"Rs 10,29,71,931
~ 10 Crore+","Rs 5,97,46,216
~ 5 Crore+"
333,Satpal Singh Satti,UNA,BJP,1,Post Graduate,"Rs 2,65,61,671
~ 2 Crore+","Rs 5,66,581
~ 5 Lacs+"
334,Saunu Ram,NACHAN (SC),IND,1,Graduate,"Rs 1,47,76,576
~ 1 Crore+","Rs 0
~"
335,Seema,PAONTA SAHIB,BSP,0,12th Pass,"Rs 6,35,000
~ 6 Lacs+","Rs 0
~"
336,Shankey Thukral,NADAUN,AAP,0,Graduate Professional,"Rs 2,82,31,026
~ 2 Crore+","Rs 1,10,98,669
~ 1 Crore+"
337,Shashi Bala,ROHRU (SC),BJP,0,Post Graduate,"Rs 88,15,203
~ 88 Lacs+","Rs 84,300
~ 84 Thou+"
338,Shasi Kant,CHAMBA,AAP,0,Graduate Professional,"Rs 92,45,000
~ 92 Lacs+","Rs 24,97,000
~ 24 Lacs+"
339,Sher Singh,KULLU,AAP,0,12th Pass,"Rs 1,87,63,619
~ 1 Crore+","Rs 0
~"
340,Shrikant Chauhan,JUBBAL-KOTKHAI,AAP,0,10th Pass,"Rs 1,07,63,000
~ 1 Crore+","Rs 10,33,000
~ 10 Lacs+"
341,Shyam Lal,MANDI,AAP,1,Post Graduate,"Rs 3,44,90,306
~ 3 Crore+","Rs 46,87,488
~ 46 Lacs+"
342,Sikander Kumar,NAGROTA,IND,0,12th Pass,"Rs 4,66,400
~ 4 Lacs+","Rs 0
~"
343,Sohan Lal,SUNDERNAGAR,INC,0,Post Graduate,"Rs 21,75,51,796
~ 21 Crore+","Rs 77,02,838
~ 77 Lacs+"
344,Subhash Chand Shukla,DHARAMSHALA,IND,0,Graduate,"Rs 7,64,64,818
~ 7 Crore+","Rs 6,98,000
~ 6 Lacs+"
345,Subhash Sharma,BILASPUR,IND,0,Post Graduate,"Rs 81,53,547
~ 81 Lacs+","Rs 22,97,155
~ 22 Lacs+"
346,Subhash Singh Dhadwal,NURPUR,IND,0,10th Pass,"Rs 1,24,51,000
~ 1 Crore+","Rs 18,95,000
~ 18 Lacs+"
347,Sudarshan Jaspa,LAHAUL AND SPITI (ST),AAP,0,Graduate Professional,"Rs 56,50,000
~ 56 Lacs+","Rs 11,50,000
~ 11 Lacs+"
348,Sudarshan Singh Babloo,CHINTPURNI (SC),INC,3,12th Pass,"Rs 2,64,61,800
~ 2 Crore+","Rs 10,35,96,766
~ 10 Crore+"
349,Sudhir Kumar,JHANDUTA (SC),AAP,0,Post Graduate,"Rs 28,57,000
~ 28 Lacs+","Rs 4,53,817
~ 4 Lacs+"
350,Sudhir Sharma,DHARAMSHALA,INC,0,Graduate,"Rs 8,61,67,906
~ 8 Crore+","Rs 60,44,159
~ 60 Lacs+"
351,Sukh Ram,PAONTA SAHIB,BJP,0,12th Pass,"Rs 2,27,71,551
~ 2 Crore+","Rs 85,70,000
~ 85 Lacs+"
352,Sukhvinder Singh,NADAUN,INC,4,Post Graduate,"Rs 7,81,89,255
~ 7 Crore+","Rs 22,42,166
~ 22 Lacs+"
353,Suman Kadam,JUBBAL-KOTKHAI,IND,0,Graduate,"Rs 52,275
~ 52 Thou+","Rs 0
~"
354,Suman Kumar,SULLAH,IND,0,12th Pass,"Rs 75,000
~ 75 Thou+","Rs 0
~"
355,Sunder Singh Thakur,KULLU,INC,1,Graduate Professional,"Rs 24,28,38,136
~ 24 Crore+","Rs 2,43,86,443
~ 2 Crore+"
356,Sunil Kumar,JAWALAMUKHI,IND,0,12th Pass,"Rs 60,53,000
~ 60 Lacs+","Rs 2,00,000
~ 2 Lacs+"
357,Sunil Kumar,PAONTA SAHIB,IND,0,Graduate,"Rs 1,19,41,033
~ 1 Crore+","Rs 0
~"
358,Sunil Sharma,NAHAN,AAP,0,Graduate,"Rs 25,11,097
~ 25 Lacs+","Rs 0
~"
359,Surat Negi,KINNAUR (ST),BJP,0,Graduate Professional,"Rs 32,69,509
~ 32 Lacs+","Rs 3,53,828
~ 3 Lacs+"
360,Surender Kumar,NADAUN,IND,0,12th Pass,"Rs 68,59,699
~ 68 Lacs+","Rs 13,00,000
~ 13 Lacs+"
361,Surender Shourie,BANJAR,BJP,0,Graduate,"Rs 89,48,181
~ 89 Lacs+","Rs 35,83,322
~ 35 Lacs+"
362,Surender Singh,JAISINGHPUR (SC),IND,0,Graduate,"Rs 1,77,275
~ 1 Lacs+","Rs 0
~"
363,Surender Singh Thakur,JOGINDERNAGAR,IND,0,Graduate Professional,"Rs 25,49,388
~ 25 Lacs+","Rs 1,00,000
~ 1 Lacs+"
364,Suresh Bhardwaj,KASUMPTI,BJP,0,Graduate Professional,"Rs 1,84,67,695
~ 1 Crore+","Rs 4,01,218
~ 4 Lacs+"
365,Suresh Kumar,SHILLAI,Rashtriya Devbhumi Party,1,12th Pass,"Rs 2,65,211
~ 2 Lacs+","Rs 6,00,000
~ 6 Lacs+"
366,Suresh Kumar,PALAMPUR,BSP,0,8th Pass,"Rs 11,00,300
~ 11 Lacs+","Rs 4,13,006
~ 4 Lacs+"
367,Suresh Kumar,BHORANJ (SC),INC,0,Post Graduate,"Rs 71,30,000
~ 71 Lacs+","Rs 0
~"
368,Suresh Kumar,SULLAH,BSP,0,Graduate,"Rs 25,95,000
~ 25 Lacs+","Rs 11,00,000
~ 11 Lacs+"
369,Surinder Kumar,KANGRA,INC,0,Graduate,"Rs 39,81,013
~ 39 Lacs+","Rs 3,00,000
~ 3 Lacs+"
370,Surinder Singh Mankotia,JASWAN-PRAGPUR,INC,1,Post Graduate,"Rs 5,03,55,476
~ 5 Crore+","Rs 8,00,000
~ 8 Lacs+"
371,Susheel Kumar Bhrigu,PACHHAD (SC),Rashtriya Devbhumi Party,0,12th Pass,"Rs 24,63,649
~ 24 Lacs+","Rs 0
~"
372,Sushil Kumar,JAISINGHPUR (SC),Rashtriya Devbhumi Party,0,Graduate Professional,"Rs 38,96,286
~ 38 Lacs+","Rs 5,87,997
~ 5 Lacs+"
373,Sushil Kumar,JAWALAMUKHI,BSP,0,12th Pass,"Rs 29,85,000
~ 29 Lacs+","Rs 0
~"
374,Sushil Kumar Surroch,HAMIRPUR,AAP,0,Post Graduate,"Rs 2,86,20,000
~ 2 Crore+","Rs 23,50,000
~ 23 Lacs+"
375,Swarn Singh Saini,DOON,AAP,0,8th Pass,"Rs 13,98,11,562
~ 13 Crore+","Rs 4,01,03,488
~ 4 Crore+"
376,Tara Chand,BALH (SC),AAP,0,10th Pass,"Rs 73,78,500
~ 73 Lacs+","Rs 3,78,000
~ 3 Lacs+"
377,Tara Chand,MANALI,BSP,0,8th Pass,"Rs 1,05,65,000
~ 1 Crore+","Rs 20,00,000
~ 20 Lacs+"
378,Tejwant Singh Negi,KINNAUR (ST),IND,0,Graduate,"Rs 3,82,26,724
~ 3 Crore+","Rs 10,09,641
~ 10 Lacs+"
379,Tek Chand,SUNDERNAGAR,IND,0,Others,"Rs 25,62,000
~ 25 Lacs+","Rs 6,00,000
~ 6 Lacs+"
380,Tersem Singh,KINNAUR (ST),AAP,0,12th Pass,"Rs 22,34,477
~ 22 Lacs+","Rs 9,630
~ 9 Thou+"
381,Thakur Singh,SUNDERNAGAR,Sainik Samaj Party,0,Graduate,"Rs 2,88,95,000
~ 2 Crore+","Rs 0
~"
382,Thakur Singh Bharmouri,BHARMOUR (ST),INC,1,Graduate,"Rs 10,07,57,940
~ 10 Crore+","Rs 96,82,615
~ 96 Lacs+"
383,Thakur Surender Pal,JOGINDERNAGAR,INC,0,10th Pass,"Rs 1,15,59,153
~ 1 Crore+","Rs 14,75,000
~ 14 Lacs+"
384,Tikender Singh Panwar,SHIMLA,CPI(M),3,Graduate,"Rs 4,34,85,802
~ 4 Crore+","Rs 0
~"
385,Tilak Raj,FATEHPUR,BSP,0,Others,"Rs 1,56,200
~ 1 Lacs+","Rs 50,000
~ 50 Thou+"
386,Trilok Jamwal,BILASPUR,BJP,0,Post Graduate,"Rs 3,02,44,106
~ 3 Crore+","Rs 7,59,623
~ 7 Lacs+"
387,Trilok Kapoor,PALAMPUR,BJP,0,12th Pass,"Rs 4,82,22,729
~ 4 Crore+","Rs 2,11,76,327
~ 2 Crore+"
388,Uday Singh,RAMPUR (SC),AAP,0,Post Graduate,"Rs 1,51,11,584
~ 1 Crore+","Rs 35,00,000
~ 35 Lacs+"
389,Uday Singhta,CHOPAL,AAP,0,Graduate Professional,"Rs 77,00,000
~ 77 Lacs+","Rs 14,00,000
~ 14 Lacs+"
390,Uma Kant,NAGROTA,AAP,0,Post Graduate,"Rs 1,52,92,774
~ 1 Crore+","Rs 0
~"
391,Uttam Chand,CHAMBA,Bhartiya Veer Dal,5,12th Pass,"Rs 7,82,800
~ 7 Lacs+","Rs 96,000
~ 96 Thou+"
392,Varun Kumar,DEHRA,IND,0,Graduate Professional,"Rs 18,27,820
~ 18 Lacs+","Rs 0
~"
393,Varun Kumar Thakur,GHUMARWIN,IND,2,Others,"Rs 25,263
~ 25 Thou+","Rs 0
~"
394,Vijay Koundal,FATEHPUR,IND,0,Post Graduate,"Rs 1,35,15,000
~ 1 Crore+","Rs 0
~"
395,Vijay Kumar,KANGRA,BSP,0,12th Pass,"Rs 37,52,137
~ 37 Lacs+","Rs 0
~"
396,Vijay Kumar,NADAUN,BJP,1,Post Graduate,"Rs 2,59,10,170
~ 2 Crore+","Rs 5,13,834
~ 5 Lacs+"
397,Vijay Pal Khachi,THEOG,IND,0,Graduate Professional,"Rs 6,88,57,196
~ 6 Crore+","Rs 0
~"
398,Vikramaditya Singh,SHIMLA RURAL,INC,11,Post Graduate,"Rs 1,01,39,61,033
~ 101 Crore+","Rs 1,38,70,967
~ 1 Crore+"
